CGPA,Attendance,Aptitude_Score,Coding_Score,Communication_Score,Number_of_Projects,Placed,Salary
7.39,78.7,77.4,42.0,69.0,1,0,0
9.27,77.9,55.4,80.7,67.9,5,1,390000
7.3,68.7,53.9,35.5,86.7,4,1,380000
9.12,84.8,81.1,92.4,88.1,0,1,390000
7.51,71.2,59.1,74.1,51.0,3,1,380000
6.78,84.2,38.9,69.1,42.0,3,0,0
6.14,100.0,64.9,56.2,66.7,4,1,350000
8.02,80.0,48.5,43.1,64.0,1,1,220000
6.75,70.9,49.9,91.4,81.8,2,0,0
5.95,74.9,43.4,64.9,68.4,5,0,0
7.69,89.0,83.6,14.7,65.2,5,1,320000
9.51,93.2,37.2,61.8,69.3,2,1,310000
6.91,75.9,78.6,51.5,44.8,5,1,330000
6.44,94.3,85.3,68.2,66.4,3,1,360000
5.96,83.5,26.4,58.6,94.5,4,0,0
9.61,72.4,47.2,62.6,78.2,4,1,300000
8.52,96.3,82.5,77.7,59.6,3,1,410000
6.07,86.7,61.0,45.9,59.0,2,0,0
6.89,81.6,45.1,76.2,69.9,5,1,390000
6.5,77.4,63.4,34.7,72.1,5,0,0
7.22,88.9,45.2,10.1,47.8,4,0,0
5.85,76.2,58.7,27.2,51.7,5,0,0
7.05,65.5,79.6,44.7,81.3,0,0,0
7.23,79.7,78.7,83.6,77.7,1,1,450000
9.31,78.4,68.3,65.7,72.2,4,1,230000
9.66,83.7,89.1,84.2,68.0,5,1,430000
6.78,72.1,38.3,57.6,62.3,0,0,0
8.56,75.6,100.0,45.3,62.7,0,1,400000
7.47,73.3,85.2,30.9,60.0,5,1,250000
7.01,66.1,65.6,34.9,49.3,1,0,0
7.29,86.0,61.0,48.3,78.3,3,1,410000
8.44,82.0,64.2,71.8,70.9,3,1,370000
7.33,74.4,72.5,74.5,100.0,4,1,450000
8.06,72.9,69.7,35.5,91.1,4,1,340000
7.64,86.3,81.2,69.9,53.9,0,1,350000
6.05,96.8,58.0,44.7,60.1,4,1,350000
4.0,73.6,83.9,9.6,92.3,3,0,0
7.6,94.3,74.8,52.7,100.0,3,1,480000
10.0,67.9,50.9,76.4,63.2,2,1,370000
6.08,78.9,52.5,61.4,62.4,0,0,0
8.19,78.1,82.9,53.3,75.5,5,1,430000
6.93,75.0,53.7,25.1,77.8,5,1,370000
7.77,65.8,88.1,47.7,79.5,2,1,230000
7.95,80.9,70.0,73.7,95.2,2,1,340000
6.4,86.0,54.2,69.9,64.2,0,0,0
6.45,69.2,65.7,33.5,68.2,4,0,0
9.16,90.9,63.0,68.1,71.5,3,1,310000
7.63,77.8,70.9,71.7,69.5,4,0,0
7.03,93.6,55.7,99.9,99.4,5,1,400000
5.45,97.5,47.0,51.6,71.1,4,0,0
6.31,87.8,73.9,67.0,68.7,1,0,0
6.02,87.5,56.1,59.1,75.2,1,1,310000
8.84,89.8,60.4,57.3,70.3,4,0,0
6.03,83.0,63.6,67.2,89.7,3,1,330000
8.58,77.2,59.8,47.1,68.8,1,1,290000
6.96,90.0,55.5,48.6,53.3,2,0,0
8.57,56.4,71.4,75.1,75.3,5,1,310000
5.38,87.5,81.2,84.3,82.0,2,1,410000
7.71,68.6,81.7,78.2,80.6,1,1,390000
8.12,75.8,62.8,32.1,65.5,4,0,0
6.01,66.5,42.4,43.7,71.0,2,0,0
4.0,70.1,39.5,66.0,62.9,4,0,0
7.4,71.8,47.5,65.3,55.9,5,1,270000
7.72,100.0,87.6,56.5,70.4,1,1,320000
8.76,100.0,43.8,15.9,68.5,2,0,0
9.47,84.3,66.3,75.6,72.2,4,1,460000
8.45,74.8,48.8,64.2,100.0,2,1,400000
10.0,95.9,57.0,48.1,69.0,4,1,370000
8.3,92.9,50.5,81.8,79.3,3,1,280000
8.34,78.8,42.0,80.6,55.0,4,1,390000
9.98,80.9,54.9,65.3,57.9,1,1,350000
7.94,88.7,63.5,50.2,73.4,5,1,460000
8.86,89.8,45.1,63.5,60.7,1,0,0
9.01,83.5,76.2,83.9,89.0,0,1,440000
8.86,99.6,49.8,57.9,91.0,5,1,300000
7.19,61.6,74.9,55.5,56.7,3,0,0
8.58,96.5,43.5,38.9,74.1,5,0,0
6.77,79.6,51.6,18.4,65.3,3,0,0
7.07,83.2,73.8,97.9,54.4,1,1,410000
6.91,76.2,81.5,44.3,83.3,0,0,0
8.97,88.1,80.2,45.6,100.0,5,1,430000
6.64,70.2,61.9,64.3,59.4,3,0,0
7.79,70.5,44.1,42.5,71.7,0,0,0
6.68,83.5,68.3,16.3,87.5,4,0,0
6.85,83.5,58.3,25.9,63.4,0,0,0
6.92,84.8,70.1,40.7,82.4,4,1,370000
7.45,99.6,52.3,68.8,66.4,1,1,360000
5.7,89.1,50.7,62.1,59.2,2,0,0
5.67,71.9,58.4,66.5,75.0,1,0,0
5.74,85.1,70.5,71.8,58.9,4,1,300000
6.13,70.0,79.1,66.4,52.2,1,0,0
5.9,82.4,75.0,68.2,55.8,5,1,390000
4.91,99.2,51.3,44.1,65.2,1,0,0
6.68,71.7,71.6,87.9,74.1,0,1,250000
7.8,68.3,58.4,33.8,63.5,5,0,0
8.2,80.0,91.1,59.3,60.9,4,1,420000
7.56,81.7,55.3,17.0,47.0,4,0,0
8.46,75.3,76.7,56.3,62.3,3,1,280000
6.67,76.5,59.1,65.2,81.2,0,1,300000
8.48,56.3,84.6,34.3,49.4,3,0,0
5.6,73.4,66.8,9.1,53.9,4,0,0
8.39,71.3,64.3,79.6,72.5,5,1,380000
7.63,88.6,82.4,53.3,98.3,1,1,420000
7.22,89.8,64.9,41.7,61.1,2,0,0
5.96,96.9,60.7,100.0,56.6,3,0,0
7.43,72.7,65.6,75.7,73.7,4,1,420000
6.21,93.7,69.4,65.5,86.8,0,0,0
7.63,67.6,81.6,66.0,57.3,4,1,340000
8.45,71.5,98.2,55.6,68.0,4,1,480000
8.52,88.8,33.5,82.0,83.6,5,1,390000
7.71,69.1,78.2,76.6,69.2,5,1,500000
7.89,92.8,55.6,84.5,68.8,1,1,430000
7.13,100.0,59.7,70.6,56.1,2,1,370000
6.7,87.6,46.4,67.9,92.6,0,0,0
7.1,62.2,37.2,46.6,78.9,5,1,360000
8.78,94.6,72.9,81.1,99.2,4,1,480000
6.48,78.2,53.6,61.3,73.0,0,0,0
7.35,76.7,71.7,39.0,58.8,2,0,0
7.43,89.4,39.4,47.1,61.4,2,0,0
9.57,61.0,71.2,84.9,64.5,2,1,380000
6.4,91.8,40.6,62.6,81.3,2,0,0
4.57,85.7,79.5,38.9,84.1,4,0,0
5.4,71.5,73.0,65.2,71.8,2,1,290000
7.1,66.8,40.2,85.5,76.9,5,0,0
4.84,66.5,56.8,66.6,93.9,5,0,0
7.48,96.5,65.0,46.2,64.6,3,1,220000
7.24,79.3,44.6,80.5,80.1,1,1,380000
9.9,91.7,56.7,69.2,68.7,1,1,370000
9.06,94.0,86.8,65.3,78.5,3,1,330000
5.12,84.1,82.4,50.0,94.1,4,1,400000
8.22,92.1,50.5,39.1,53.2,5,0,0
4.93,75.4,54.3,61.7,80.9,3,0,0
7.44,88.5,92.6,60.0,77.9,3,1,390000
5.71,76.7,39.9,61.7,62.2,2,1,290000
5.74,69.8,55.7,56.1,81.9,1,0,0
8.52,94.0,53.7,72.5,68.7,1,1,480000
5.36,78.1,47.5,39.9,67.0,4,0,0
7.95,70.4,70.8,49.9,64.7,4,1,370000
5.72,84.5,51.8,60.9,92.9,0,1,340000
7.72,84.3,62.1,91.5,68.4,1,1,370000
8.34,80.6,41.9,76.9,55.5,5,1,360000
7.78,71.3,85.5,19.0,94.3,0,0,0
6.77,78.3,74.0,50.8,68.2,5,1,310000
7.51,97.2,42.0,71.5,86.3,0,1,370000
4.13,76.2,42.6,65.1,65.0,5,0,0
7.23,63.6,57.7,56.9,57.4,2,0,0
9.32,67.0,66.5,69.6,61.1,1,1,370000
7.94,67.3,56.1,69.1,89.4,5,1,410000
5.9,82.1,60.5,66.3,73.6,4,1,320000
5.83,100.0,65.3,53.0,64.7,4,1,220000
7.66,75.0,69.6,100.0,76.1,3,1,370000
7.47,77.9,47.7,82.3,70.0,5,1,430000
6.57,83.2,61.8,47.7,75.4,5,1,390000
5.13,84.0,40.8,36.9,79.9,3,0,0
7.23,87.5,64.6,60.6,60.5,1,0,0
8.74,70.7,51.3,81.0,67.7,4,1,510000
7.83,74.1,54.6,28.9,76.9,3,0,0
7.13,76.3,59.5,58.9,74.0,0,0,0
7.91,91.0,80.9,75.1,81.3,4,1,400000
6.36,70.6,75.1,64.3,69.5,1,0,0
5.96,60.9,73.3,40.5,60.9,5,0,0
8.65,76.1,49.0,83.0,75.3,0,1,360000
7.28,61.1,74.2,66.6,63.1,1,1,280000
6.74,78.7,53.8,57.5,63.4,5,0,0
5.64,74.1,67.0,33.9,59.3,3,0,0
8.04,75.9,71.4,78.4,65.4,4,1,450000
6.45,83.3,46.6,100.0,63.5,5,1,380000
5.75,86.8,50.0,43.8,75.7,5,1,360000
7.42,100.0,50.7,66.5,63.7,4,0,0
8.14,80.6,66.3,58.5,80.4,2,1,380000
9.71,82.5,60.5,45.1,52.0,4,1,360000
7.69,82.3,60.0,68.6,56.7,1,1,330000
7.46,88.4,47.4,48.9,71.2,2,0,0
7.7,74.1,75.5,32.8,40.9,4,0,0
7.29,77.8,70.3,41.7,76.4,2,0,0
6.22,95.1,38.9,80.1,77.4,5,1,260000
9.11,61.4,50.9,38.9,87.2,2,1,280000
6.84,78.6,54.4,59.8,93.1,3,1,410000
9.47,77.0,59.2,56.0,46.0,1,1,310000
7.84,83.1,60.7,57.2,64.9,4,1,270000
5.8,86.2,66.3,37.2,74.8,4,0,0
8.05,93.0,64.0,45.0,93.4,2,1,380000
6.87,68.0,76.8,73.4,63.5,2,1,290000
7.28,78.8,50.0,100.0,36.0,3,0,0
6.58,72.5,74.7,53.3,66.5,5,0,0
7.85,76.1,99.5,76.4,97.1,2,1,350000
9.34,81.3,77.6,74.1,80.2,4,1,410000
7.86,92.2,65.0,34.8,36.5,5,0,0
7.43,78.2,45.8,45.3,78.8,2,0,0
8.06,94.7,62.8,82.2,75.2,5,1,430000
7.19,99.4,49.0,26.2,99.9,5,0,0
4.96,98.3,41.4,58.3,84.2,4,0,0
6.74,78.7,48.4,59.9,72.8,1,0,0
8.4,76.0,40.3,62.1,92.6,2,1,290000
6.88,74.8,82.5,56.8,78.0,3,0,0
9.2,68.3,83.8,64.7,68.4,3,1,450000
7.22,76.4,36.8,94.3,54.0,1,0,0
6.14,86.5,53.4,67.7,57.1,1,0,0
7.68,85.3,39.0,50.8,78.4,5,0,0
9.62,67.0,35.3,78.6,72.8,4,1,350000
8.41,75.7,30.8,42.8,79.6,1,0,0
7.21,63.1,76.3,45.9,56.2,5,1,290000
8.38,76.7,66.3,50.7,80.1,4,1,450000
6.29,70.9,49.6,42.5,70.4,0,0,0
6.98,69.5,44.6,59.6,66.6,3,0,0
6.85,80.3,66.3,64.8,70.2,2,1,230000
8.31,77.8,60.2,48.1,72.6,3,1,320000
8.43,71.4,57.5,79.7,70.3,0,1,430000
5.76,68.3,62.2,40.3,88.1,4,0,0
5.08,76.8,69.2,36.4,43.2,0,0,0
8.15,74.8,23.1,46.5,84.4,5,0,0
8.26,78.5,36.1,75.4,71.8,1,0,0
6.04,86.5,82.0,68.1,87.7,3,1,380000
8.69,86.3,73.5,84.0,84.9,3,1,460000
6.38,85.7,73.7,84.1,67.7,3,1,440000
8.4,84.8,50.9,34.7,82.5,0,1,300000
8.49,87.2,53.1,78.5,50.2,4,1,440000
6.96,76.2,60.7,58.1,76.5,5,1,290000
7.96,75.5,80.8,87.0,82.2,5,1,530000
7.65,69.2,59.7,52.9,76.8,4,1,280000
7.52,78.4,47.4,60.4,77.3,3,0,0
7.62,93.3,49.8,63.1,87.8,1,1,280000
8.22,74.6,45.8,33.2,72.5,0,0,0
7.31,77.8,78.5,36.4,76.6,0,0,0
8.69,83.1,74.8,86.9,52.4,4,1,350000
6.11,74.4,89.4,53.0,67.4,2,0,0
6.37,99.1,75.8,29.5,73.0,3,0,0
8.73,91.5,62.2,84.2,47.1,4,1,390000
8.96,84.7,83.3,56.8,90.5,4,1,410000
10.0,68.2,60.2,86.7,62.6,4,1,560000
7.12,84.2,48.2,50.7,58.2,1,0,0
8.15,75.1,62.5,72.7,82.4,0,1,440000
7.44,73.2,53.4,46.3,83.3,5,1,340000
7.9,93.9,60.8,45.8,81.5,4,1,420000
7.44,81.0,59.6,43.2,66.7,0,0,0
7.89,74.3,82.0,20.9,53.1,0,0,0
6.66,70.9,42.9,29.7,56.8,3,0,0
7.87,78.5,45.8,56.6,61.7,0,0,0
7.97,94.7,74.6,20.2,46.0,2,1,330000
8.09,72.3,51.9,77.5,80.3,1,1,400000
5.52,68.7,65.2,28.7,68.5,3,0,0
9.6,90.6,45.5,87.2,64.1,1,1,440000
9.1,91.4,70.8,16.4,66.8,3,0,0
8.07,76.7,55.8,79.4,79.1,2,1,330000
9.01,95.9,80.5,17.6,66.4,5,0,0
8.66,82.3,69.9,52.5,68.3,4,1,270000
8.25,73.5,70.4,54.0,72.5,0,0,0
6.58,75.9,75.3,49.0,74.3,2,1,330000
7.76,65.2,63.8,71.6,98.4,4,1,560000
6.69,79.4,57.3,74.1,84.7,2,1,470000
6.84,77.2,53.1,99.1,65.3,0,1,350000
5.73,82.7,68.9,64.1,61.6,4,1,320000
8.81,71.1,59.0,39.8,61.7,1,1,320000
7.09,65.5,25.4,48.7,70.6,1,0,0
9.3,89.9,62.8,51.4,62.0,3,1,390000
4.64,84.5,84.7,93.4,69.3,1,1,360000
6.95,65.9,72.5,19.8,66.4,3,0,0
8.54,87.4,71.9,46.6,58.6,4,1,300000
9.27,91.1,68.9,43.0,54.3,4,0,0
5.94,83.2,65.8,74.9,79.3,0,1,270000
6.31,95.4,42.9,41.0,45.8,4,0,0
7.25,74.2,53.1,31.3,63.2,0,0,0
6.38,73.9,38.8,47.4,86.8,0,1,350000
6.01,71.2,42.2,38.9,59.9,0,0,0
9.36,89.9,89.6,31.9,69.8,1,1,300000
6.8,70.7,59.7,86.7,60.4,2,1,320000
6.84,96.9,50.6,19.5,92.0,2,0,0
9.08,79.2,51.3,44.6,86.9,0,0,0
6.47,89.2,87.1,70.2,76.1,2,1,410000
8.08,74.5,60.6,40.9,63.9,3,1,350000
6.74,82.7,68.8,69.7,42.9,2,0,0
7.87,75.1,87.3,59.5,73.8,0,1,410000
9.04,96.3,42.7,14.5,75.4,3,0,0
9.12,63.7,53.4,16.5,58.2,3,0,0
6.26,76.5,59.1,70.1,54.4,5,0,0
7.62,91.8,49.0,73.4,42.2,4,1,450000
6.36,81.0,31.5,35.3,91.3,4,0,0
10.0,77.0,68.0,38.0,97.8,0,1,310000
7.55,94.1,53.5,34.5,62.5,4,0,0
7.35,83.0,50.6,88.9,52.4,3,1,420000
6.54,76.0,40.1,100.0,67.5,5,1,390000
9.27,72.2,62.2,34.5,85.7,1,1,360000
5.93,73.5,58.6,91.6,87.0,1,1,370000
5.16,79.3,63.6,70.5,64.3,0,1,360000
7.41,66.4,85.8,42.5,62.2,1,0,0
7.37,95.5,38.2,63.4,78.9,0,0,0
9.08,77.3,77.5,25.7,70.3,3,0,0
7.6,90.7,58.3,49.5,68.6,5,0,0
7.3,98.4,80.8,67.2,53.1,4,1,400000
7.69,95.1,56.0,69.9,54.3,2,1,350000
8.68,75.2,48.4,14.0,68.2,4,0,0
5.55,61.0,34.5,78.6,78.5,2,0,0
7.8,72.7,50.6,48.8,65.0,5,0,0
6.83,76.5,53.0,86.1,78.1,5,1,440000
7.95,80.2,49.5,72.9,64.5,5,1,340000
7.34,86.4,71.5,61.3,90.3,1,1,300000
9.13,75.6,63.0,50.2,74.9,5,1,400000
7.65,65.6,68.1,47.9,77.3,2,1,340000
4.75,84.8,43.2,25.4,67.4,5,0,0
7.63,71.2,68.1,66.7,72.5,2,0,0
8.43,79.8,68.6,48.4,100.0,1,1,460000
6.92,76.0,56.6,60.6,71.2,5,0,0
8.52,86.7,64.8,65.3,91.9,3,1,430000
8.9,81.4,64.6,59.3,84.5,1,1,390000
6.7,59.4,48.9,49.1,86.2,3,0,0
5.91,89.2,67.2,53.0,72.2,5,1,390000
8.07,69.6,33.0,40.8,55.6,3,0,0
10.0,91.6,56.4,44.8,78.3,3,1,350000
7.57,71.7,70.5,84.3,91.6,2,1,370000
6.65,59.9,55.4,46.2,88.3,5,1,360000
7.62,82.5,100.0,70.6,71.1,4,1,450000
6.62,70.8,91.8,52.0,72.7,2,1,350000
9.48,86.1,72.3,62.7,77.8,3,1,360000
9.76,72.6,41.0,52.5,70.6,5,1,350000
8.6,91.3,32.0,68.0,92.4,1,1,390000
9.19,81.3,88.0,39.1,86.9,4,1,510000
9.54,87.2,80.2,77.7,66.0,1,1,380000
5.54,88.2,87.5,56.6,51.6,4,1,390000
6.49,77.5,75.1,57.0,78.9,0,0,0
7.98,83.8,45.1,75.7,54.8,4,1,330000
8.03,81.2,76.9,37.5,70.5,3,0,0
7.63,80.6,86.0,46.0,59.8,5,1,270000
8.23,63.9,61.4,47.3,58.3,3,0,0
7.55,86.2,57.8,34.9,65.8,0,0,0
6.04,67.5,64.2,61.6,70.7,4,1,320000
9.15,78.0,93.7,15.3,53.3,5,1,320000
6.98,73.2,74.3,93.5,54.4,3,0,0
6.79,80.1,69.4,56.9,63.2,2,1,270000
6.4,95.6,65.2,54.1,67.9,1,0,0
7.66,82.0,59.3,59.3,71.5,4,1,400000
7.13,85.9,59.1,44.1,72.4,0,0,0
7.6,90.3,74.8,100.0,87.8,0,1,420000
8.02,76.4,79.9,50.4,63.8,5,1,380000
7.89,88.9,63.3,78.0,89.1,2,1,420000
9.03,94.8,56.1,63.2,52.6,4,1,570000
8.68,94.8,96.2,47.3,53.2,1,1,310000
9.53,90.2,15.6,64.5,46.0,2,0,0
8.76,81.0,72.9,49.2,60.3,4,1,490000
10.0,72.7,77.5,47.6,100.0,5,1,460000
7.54,77.4,48.2,55.6,78.3,3,0,0
7.0,80.1,65.4,29.3,61.2,2,0,0
7.01,93.9,79.4,72.3,62.1,4,1,420000
7.5,77.8,40.2,69.6,80.8,2,0,0
6.19,68.8,86.1,60.2,52.8,4,1,270000
8.74,82.2,60.5,100.0,44.3,5,1,400000
9.66,90.0,64.5,53.3,91.2,0,1,330000
8.38,86.1,54.5,47.0,78.7,0,1,400000
5.58,73.6,73.7,73.8,49.0,5,0,0
8.97,75.1,75.0,56.5,69.7,2,1,390000
8.64,72.9,60.6,63.1,58.5,4,1,430000
6.89,79.1,59.4,30.8,57.8,4,0,0
6.29,91.0,50.5,8.2,77.2,3,0,0
8.52,85.2,81.4,100.0,78.0,0,1,520000
7.04,68.9,77.9,42.8,61.3,5,0,0
6.88,78.6,55.7,77.8,62.3,0,0,0
9.64,82.5,74.2,39.1,59.9,5,1,550000
6.85,72.9,45.7,42.9,78.9,2,0,0
5.16,71.2,55.8,93.1,72.1,2,1,260000
7.55,76.9,55.0,77.6,87.1,5,1,600000
6.76,78.6,75.6,88.0,92.0,1,1,360000
7.53,82.9,61.8,69.5,69.4,4,1,330000
7.03,65.7,73.4,58.4,31.3,4,1,230000
6.64,100.0,50.4,73.3,80.1,2,1,430000
9.27,100.0,47.9,53.2,62.4,2,1,310000
9.47,76.8,87.2,58.9,77.4,3,1,350000
7.19,84.1,60.7,60.8,66.7,0,0,0
5.62,91.1,58.8,62.9,90.2,4,1,240000
5.44,77.1,66.1,46.9,95.3,5,1,350000
7.26,76.2,55.2,59.0,61.6,0,1,290000
8.45,74.9,82.6,91.4,60.1,2,1,600000
6.92,87.1,46.9,68.6,76.7,5,1,560000
9.66,79.2,58.5,95.1,85.5,3,1,480000
8.52,90.2,73.8,67.0,40.2,2,1,310000
10.0,90.2,65.2,51.4,42.0,3,1,430000
8.11,89.9,34.7,41.6,78.9,2,1,380000
7.17,79.0,78.1,26.3,63.6,3,1,270000
7.84,97.5,72.2,73.9,56.5,0,1,260000
6.06,62.6,49.9,71.6,65.7,0,0,0
7.63,68.4,84.9,55.0,58.9,3,1,430000
8.64,69.6,42.2,64.6,83.1,4,1,340000
8.42,80.9,57.7,54.5,47.6,2,1,290000
8.0,86.8,36.1,81.4,62.3,4,1,470000
7.19,76.9,72.3,86.4,71.9,1,1,330000
5.16,74.5,75.6,33.1,62.8,5,0,0
6.54,89.4,60.0,68.9,78.0,3,1,320000
5.2,91.8,70.5,72.0,41.7,4,0,0
5.79,67.7,46.8,56.0,46.1,0,0,0
5.18,91.0,70.9,67.1,83.8,5,1,320000
6.06,94.0,80.6,42.8,71.2,5,0,0
6.83,95.6,70.8,67.1,62.1,2,0,0
7.95,83.7,85.2,74.5,71.3,3,1,370000
7.52,77.1,85.7,82.3,64.8,0,1,390000
7.8,78.4,64.3,62.7,76.3,4,1,410000
8.21,100.0,70.6,77.1,94.4,2,1,540000
8.55,77.1,74.4,79.9,68.5,4,1,380000
9.52,87.7,66.5,35.5,61.7,1,0,0
8.71,72.8,71.7,58.5,74.0,5,1,500000
5.67,82.4,73.9,87.5,92.2,3,1,340000
6.22,85.5,43.8,78.6,63.4,4,1,290000
8.84,92.8,59.6,35.5,82.9,0,1,280000
6.51,87.3,63.0,29.6,75.8,3,0,0
6.9,99.0,67.1,67.0,79.2,5,1,400000
7.37,81.2,54.7,33.5,55.5,5,0,0
8.07,82.8,48.7,75.6,97.4,1,1,420000
10.0,90.8,54.3,82.8,77.7,3,1,490000
7.35,72.0,60.5,34.3,66.2,5,1,350000
8.56,76.7,46.6,17.6,87.9,1,0,0
7.56,75.2,64.9,83.5,64.4,0,1,270000
7.33,61.2,61.5,60.1,78.8,2,1,360000
8.46,91.4,69.9,64.5,70.3,3,1,450000
8.03,94.1,53.3,61.0,53.5,4,1,390000
9.53,81.9,95.8,57.6,82.0,3,1,530000
7.2,81.0,74.8,86.3,75.7,1,0,0
6.86,80.3,61.3,37.4,87.4,5,1,330000
6.09,75.9,46.1,64.8,72.8,2,0,0
4.31,80.9,54.6,47.5,83.1,0,0,0
6.97,77.2,46.8,87.1,47.9,5,1,300000
7.21,83.8,57.1,75.5,56.9,1,1,350000
7.6,88.6,84.7,75.5,75.0,1,1,310000
8.56,81.1,36.0,69.7,40.6,2,0,0
8.84,81.4,78.0,62.4,58.0,0,1,390000
7.7,75.7,58.8,43.9,44.5,2,0,0
8.01,87.3,74.9,57.4,43.3,0,0,0
8.3,69.6,63.9,66.1,85.2,1,1,350000
5.36,62.2,61.0,34.3,60.0,4,0,0
7.93,69.2,71.7,94.5,62.6,2,1,440000
6.14,85.1,69.7,79.3,58.3,4,1,260000
7.6,81.8,56.4,21.8,60.8,5,0,0
8.38,77.0,47.3,32.3,89.7,4,0,0
7.44,76.5,70.1,81.2,71.5,2,1,370000
8.19,71.5,86.1,26.1,50.7,2,0,0
8.27,67.1,64.2,87.1,63.9,1,1,450000
9.61,83.1,58.6,81.4,85.7,0,1,400000
7.78,87.6,91.0,66.4,66.7,5,1,400000
9.36,59.4,62.0,60.4,74.0,4,1,270000
7.37,83.5,95.7,48.1,55.2,3,0,0
9.3,74.4,69.6,67.5,66.6,4,0,0
6.69,68.7,67.9,35.9,63.5,4,0,0
9.06,92.6,55.5,83.3,50.8,1,1,430000
8.27,77.2,73.2,68.6,67.6,4,1,430000
8.89,84.3,62.7,50.7,53.7,1,0,0
9.9,75.3,78.1,52.7,64.0,0,0,0
5.91,62.8,89.0,67.1,71.5,5,1,310000
7.6,92.7,51.2,100.0,52.1,0,1,540000
6.64,78.4,63.2,60.9,100.0,2,0,0
6.61,100.0,65.5,43.2,75.6,3,0,0
5.83,64.9,66.6,39.7,99.4,3,0,0
6.28,81.9,77.9,33.3,89.9,1,0,0
7.05,68.7,52.8,81.8,79.5,3,0,0
6.81,64.1,59.0,50.1,49.9,0,0,0
6.13,88.2,62.6,67.6,79.9,5,1,410000
7.69,60.7,54.5,27.4,62.8,5,0,0
8.0,84.6,53.9,50.2,68.7,2,1,280000
8.52,98.6,94.3,45.9,75.8,4,1,460000
6.49,68.8,98.8,30.1,77.4,1,1,270000
9.08,84.3,58.1,53.3,78.8,4,1,440000
8.91,90.7,34.0,77.8,48.5,0,1,370000
7.63,86.7,90.9,47.8,67.5,3,1,390000
9.12,94.4,25.4,21.6,65.4,3,1,340000
8.4,96.1,100.0,69.8,71.5,1,1,560000
6.26,91.1,62.9,60.7,78.9,5,1,360000
6.84,84.1,53.3,74.0,65.2,4,1,320000
8.51,83.2,68.1,100.0,100.0,4,1,390000
6.95,62.4,82.8,60.8,39.7,5,1,430000
5.33,99.0,46.6,50.4,68.9,2,0,0
7.96,76.3,57.4,82.4,74.7,0,1,340000
8.9,78.4,77.0,57.3,59.8,2,1,410000
5.96,69.0,63.9,77.3,80.2,3,0,0
7.56,74.3,78.2,36.6,71.5,1,0,0
8.22,82.1,56.2,62.2,62.7,3,1,380000
8.59,82.4,60.6,37.7,41.0,1,0,0
7.88,83.1,71.4,50.7,78.8,2,1,390000
5.87,74.3,77.4,100.0,95.6,1,1,440000
7.08,82.0,67.6,30.1,72.6,5,0,0
8.11,79.4,40.8,92.8,80.4,0,1,380000
9.47,89.2,56.1,41.5,89.4,0,1,370000
7.33,82.6,53.2,44.7,100.0,4,0,0
9.15,94.5,68.9,44.5,77.4,4,0,0
